# Number of dofs 3239
#  Step  Iter  |F|          |x|  
  0    0    2.23193        0.00428884  
  0    1    0.00799606     0.000190351  
  0    2    0.000543947    1.3755e-05  
  0    3    3.37061e-06    7.71334e-08  
  0    4    1.45539e-10      
  1    0    1.15761        0.00422949  
  1    1    0.0041357      8.38861e-05  
  1    2    0.000170143    3.44193e-06  
  1    3    3.75694e-07    6.51842e-09  
  1    4    1.9458e-12       
  2    0    0.887468       0.00423755  
  2    1    0.00307601     5.03107e-05  
  2    2    0.00010054     1.52474e-06  
  2    3    1.22568e-07    1.56794e-09  
  2    4    1.864e-13        
  3    0    0.783941       0.00424725  
  3    1    0.00246686     3.3207e-05  
  3    2    6.52089e-05    8.12162e-07  
  3    3    4.94975e-08    5.25638e-10  
  3    4    5.22987e-14      
  4    0    0.733968       0.00425257  
  4    1    0.00207617     2.33728e-05  
  4    2    4.5088e-05     4.76383e-07  
  4    3    2.26238e-08    2.08351e-10  
  4    4    5.95649e-14      
